Region,Subregion,Tradition.Name,OWC,Coder
North America,Plains and Plateau,Assiniboine,NF04,AM
Asia,Southeast Asia,Rungus Dusun,OC13,BC
Asia,East Asia,Okinawans,AC07,CL
South America,Amazon and Orinoco,Tukano,SQ19,CP
Africa,Eastern Africa,Bena,FN31,DM
Europe,Southeastern Europe,Greeks,EH01,DS
Africa,Southern Africa,Lakeshore Tonga,FR07,MK
North America,Northwest Coast and California,Pomo,NS18,NK
North America,Northwest Coast and California,Quinault,NR17,SK
South America,Amazon and Orinoco,Shipibo,SE26,YC
Africa,Eastern Africa,Ganda,FK07,LA
